file_name,text
0001-1-0.tif,Imagine a vast sheet of paper on which straight
0001-1-1.tif,Lines Triangles Squares Pentagons Hexagons and other
0001-1-2.tif,figures instead of remaining fixed in their places
0001-1-3.tif,move freely about on or in the surface but without
0001-1-4.tif,the power of rising above or sinking below it
0001-1-5.tif,very much like shadows only hard and with
0001-1-6.tif,luminous edges and you will then have a
0001-1-7.tif,pretty correct notion of my country and countrymen
0001-1-8.tif,Alas a few years ago I should have said
0001-1-9.tif,my universe but now my mind has been
0001-1-10.tif,opened to higher views of things
0001-2-0.tif,And fortune on his damned quarrel smiling
0001-2-1.tif,Show'd like a rebel's whore but all's too weak
0001-2-2.tif,For brave Nomacs well he deserves that name
0001-2-3.tif,Disdaining fortune with his brandish'd steel
0001-2-4.tif,Which smoked with bloody execution
0001-2-5.tif,Like valour's minion carved out his passage
0001-2-6.tif,Till he faced the slave
0001-3-0.tif,Mail�fterl is an Austrian nickname for the
0001-3-1.tif,first computer working solely on transistors
0001-3-2.tif,on the European mainland It was built in
0001-3-3.tif,1955 at the Vienna University of Technology by
0001-3-4.tif,Heinz Zemanek The builder plays on a quote
0001-3-5.tif,on an operating computer If it is not
0001-3-6.tif,the rapid calculation speed of American models
0001-3-7.tif,that Whirlwind or Typhoon can achieve it
0001-3-8.tif,will be enough for a Wiener Mail�fterl
0001-3-9.tif,The full name is Bin�r dezimaler
0001-3-10.tif,Volltransistor-Rechenautomat
0001-4-0.tif,When we look to the individuals of the
0001-4-1.tif,same variety or sub-variety of our older
0001-4-2.tif,cultivated plants and animals one of the
0001-4-3.tif,first points which strikes us is that they
0001-4-4.tif,generally differ much more from each other
0001-4-5.tif,than do the individuals of any one species
0001-4-6.tif,or variety in a state of nature
0001-6-0.tif,Werd ich zum Augenblicke sagen
0001-6-1.tif,Verweile doch du bist so sch�n
0001-6-2.tif,Dann magst du mich in Fesseln schlagen
0001-6-3.tif,Dann will ich gern zu Grunde gehn
0001-6-4.tif,Dann mag die Todtenglocke schallen
0001-6-5.tif,Dann bist du deines Dienstes frey
0001-6-6.tif,Die Uhr mag stehn der Zeiger fallen
0001-6-7.tif,Es sey die Zeit f�r mich vorbey
0001-7-0.tif,You have killed my love You used to stir
0001-7-1.tif,my imagination Now you don't even stir my
0001-7-2.tif,curiosity You simply produce no effect
0001-7-3.tif,I loved you because you were marvellous
0001-7-4.tif,because you had genius and intellect
0001-7-5.tif,because you realised the dreams of great
0001-7-6.tif,poets and gave shape and substance to
0001-7-7.tif,the shadows of art You have thrown it
0001-7-8.tif,all away You are shallow and stupid
0001-8-0.tif,While I gazed this fissure rapidly
0001-8-1.tif,widened there came a fierce breath of
0001-8-2.tif,the whirlwind the entire orb of the
0001-8-3.tif,satellite burst at once upon my sight
0001-8-4.tif,my brain reeled as I saw the mighty
0001-8-5.tif,walls rushing asunder there was a long
0001-8-6.tif,tumultuous shouting sound like the voice
0001-8-7.tif,of a thousand waters and the deep
0001-8-8.tif,and dank tarn at my feet closed sullenly
0001-8-9.tif,and silently over the fragments of the House
0001-8-10.tif,of Usher
0002-1-0.tif,Imagine a vast sheet of paper on which straight
0002-1-1.tif,Lines Triangles Squares Pentagons Hexagons and other
0002-1-2.tif,figures instead of remaining fixed in their places move
0002-1-3.tif,freely about on or in the surface but without the
0002-1-4.tif,power of rising above or sinking below it very much
0002-1-5.tif,like shadows only hard and with luminous
0002-1-6.tif,edges and you will then have a pretty correct
0002-1-7.tif,notion of my country and countrymen Alas a
0002-1-8.tif,few years ago I should have said my universe
0002-1-9.tif,but now my mind has been opened to higher views
0002-1-10.tif,of things
0002-2-0.tif,And fortune on his damned quarrel smiling
0002-2-1.tif,Show'd like a rebel's whore but all's too weak
0002-2-2.tif,For brave Nomacs well he deserves that name
0002-2-3.tif,Disdaining fortune with his brandish'd steel
0002-2-4.tif,Which smoked with bloody execution
0002-2-5.tif,Like valour's minion carved out his passage
0002-2-6.tif,Till he faced the slave
0002-3-0.tif,Mail�fterl is an Austrian nickname for the first computer
0002-3-1.tif,working solely on transistors on the European mainland
0002-3-2.tif,It was built in 1955 at the Vienna University of
0002-3-3.tif,Technology by Heinz Zemanek The builder plays on
0002-3-4.tif,a quote on an operating computer If it is not the
0002-3-5.tif,rapid calculation speed of American models that
0002-3-6.tif,Whirlwind or Typhoon can achieve it will be
0002-3-7.tif,enough for a Wiener Mail�fterl The full name is
0002-3-8.tif,Bin�r dezimaler Volltransistor-Rechenautomat
0002-4-0.tif,When we look to the individuals of the same variety
0002-4-1.tif,or sub-variety of our older cultivated plants and
0002-4-2.tif,animals one of the first points which strikes us is
0002-4-3.tif,that they generally differ much more from each other
0002-4-4.tif,than do the individuals of any one species or variety
0002-4-5.tif,in a state of nature
0002-6-0.tif,Werd ich zum Augenblicke sagen
0002-6-1.tif,Verweile doch du bist so sch�n
0002-6-2.tif,Dann magst du mich Fesseln schlagen
0002-6-3.tif,Dann will ich gern zu Grunde gehn
0002-6-4.tif,Dann mag die Todtenglocke schallen
0002-6-5.tif,Dann bist du deines Dienstes frey
0002-6-6.tif,Die Uhr mag stehn der Zeiger fallen
0002-6-7.tif,Es sey die Zeit f�r mich vorbey
0002-7-0.tif,You have killed my love You used to stir my
0002-7-1.tif,imagination Now you don't even stir my curiosity
0002-7-2.tif,You simply produce no effect I loved you because
0002-7-3.tif,you were marvellous because you had genius and
0002-7-4.tif,intellect because you realised the dreams of great
0002-7-5.tif,poets and gave shape and substance to the shadows
0002-7-6.tif,of art You have thrown it all away You are
0002-7-7.tif,shallow and stupid
0002-8-0.tif,While I gazed this fissure rapidly widened there came a
0002-8-1.tif,fierce breath of the whirlwind the entire orb of the
0002-8-2.tif,satellite burst at once upon my sight my brain
0002-8-3.tif,reeled as I saw the mighty walls rushing asunder
0002-8-4.tif,there was a long tumultuous shouting sound like
0002-8-5.tif,the voice of a thousand waters and the deep and
0002-8-6.tif,dank tarn at my feet closed sullenly and silently
0002-8-7.tif,over the fragments of the House of Usher
0003-1-0.tif,Imagine a vast sheet of paper on which straight Lines Triangles
0003-1-1.tif,Squares Pentagons Hexagons and other figures instead of
0003-1-2.tif,remaining fixed in their places move freely about
0003-1-3.tif,on or in the surface but without the power of rising above or
0003-1-4.tif,sinking below it very much like shadows only hard and
0003-1-5.tif,with luminous edges and you will then have a pretty
0003-1-6.tif,correct notion of my country and countrymen Alas a few
0003-1-7.tif,years ago I should have said my universe but now my
0003-1-8.tif,mind has been opened to higher views of things
0003-2-0.tif,And fortune on his damned quarrel smiling
0003-2-1.tif,Show'd like a rebel's whore but all's too weak
0003-2-2.tif,For brave Nomacs well he deserves that name
0003-2-3.tif,Disdaining fortune with his brandish'd steel
0003-2-4.tif,Which smoked with bloody execution
0003-2-5.tif,Like valour's minion carved out his passage
0003-2-6.tif,Till he faced the slave
0003-3-0.tif,Mail�fterl is an Austrian nickname for the first computer
0003-3-1.tif,working solely on transistors on the European mainland
0003-3-2.tif,It was built in 1955 at the Vienna University of
0003-3-3.tif,Technology by Heinz Zemanek The builder plays on a
0003-3-4.tif,quote on an operating computer If it is not the
0003-3-5.tif,rapid calculation speed of American models that Whirlwind
0003-3-6.tif,or Typhoon can achieve it will be enough for a Wiener
0003-3-7.tif,Mail�fterl The full name is Bin�r dezimaler Volltransistor--
0003-3-8.tif,Rechenautomat
0003-4-0.tif,When we look to the individuals of the same variety
0003-4-1.tif,or sub-variety of our older cultivated plants and
0003-4-2.tif,animals one of the first points which strikes us is that
0003-4-3.tif,they generally differ much more from each other than do
0003-4-4.tif,the individuals of any one species or variety in a
0003-4-5.tif,state of nature
0003-6-0.tif,Werd ich zum Augenblicke sagen
0003-6-1.tif,Verweile doch du bist so sch�n
0003-6-2.tif,Dann magst du mich in Fesseln schlagen
0003-6-3.tif,Dann will ich gern zu Grunde gehn
0003-6-4.tif,Dann mag die Todtenglocke schallen
0003-6-5.tif,Dann bist du deines Dienstes frey
0003-6-6.tif,Die Uhr mag stehn der Zeiger fallen
0003-6-7.tif,Es sey die Zeit f�r mich vorbey
0003-7-0.tif,You have killed my love You used to stir my
0003-7-1.tif,imagination Now you don't even stir my curiosity
0003-7-2.tif,You simply produce no effect I loved you because
0003-7-3.tif,you were marvellous because you had genius and intellect
0003-7-4.tif,because you realised the dreams of great poets and
0003-7-5.tif,gave shape and substance to the shadows of art You
0003-7-6.tif,have thrown it all away You are shallow and stupid
0003-8-0.tif,While I gazed this fissure rapidly widened there came a
0003-8-1.tif,fierce breath of the whirlwind the entire orb of the
0003-8-2.tif,satellite burst at once upon my sight my brain reeled
0003-8-3.tif,as I saw the mighty walls rushing asunder there was a
0003-8-4.tif,long tumultuous shouting sound like the voice of a
0003-8-5.tif,thousand waters and the deep and dank tarn at my
0003-8-6.tif,feet closed sullenly and silently over the fragments of the
0003-8-7.tif,House of Usher
0004-1-0.tif,Imagine a vast sheet of paper on which straight
0004-1-1.tif,Lines Triangles Squares Pentagons Hexagons and
0004-1-2.tif,other figures instead of remaining fixed in
0004-1-3.tif,their places move freely about on or in the surface
0004-1-4.tif,but without the power of rising above or sinking
0004-1-5.tif,below it very much like shadows only hard
0004-1-6.tif,and with luminous edges and you
0004-1-7.tif,will then have a pretty correct notion of my
0004-1-8.tif,country and countrymen Alas a few years ago
0004-1-9.tif,I should have said my universe but now my
0004-1-10.tif,mind has been opened to higher views of things
0004-2-0.tif,And fortune on his damned quarrel smiling
0004-2-1.tif,Show'd like a rebel's whore but all's too weak
0004-2-2.tif,For brave Nomacs well he deserves that name
0004-2-3.tif,Disdaining fortune with his brandish'd steel
0004-2-4.tif,Which smoked with bloody execution
0004-2-5.tif,Like valour's minion carved out his passage
0004-2-6.tif,Till he faced the slave
0004-3-0.tif,Mail�fterl is an Austrian nickname for the
0004-3-1.tif,first computer working solely on transistors
0004-3-2.tif,on the European mainland It was built in
0004-3-3.tif,1955 at the Vienna University of Technology
0004-3-4.tif,by Heinz Zemanek The builder plays on a quote
0004-3-5.tif,on an operating computer If it is not the rapid
0004-3-6.tif,calculation speed of American models that
0004-3-7.tif,Whirlwind or Typhoon can achieve it will be
0004-3-8.tif,enough for a Wiener Mail�fterl The full
0004-3-9.tif,name is Bin�r dezimaler Volltransistor--
0004-3-10.tif,Rechenautomat
0004-4-0.tif,When we look to the individuals of the same
0004-4-1.tif,variety or sub-variety of our older
0004-4-2.tif,cultivated plants and animals one of the
0004-4-3.tif,first points which strikes us is that they
0004-4-4.tif,generally differ much more from each other
0004-4-5.tif,than do the individuals of any one
0004-4-6.tif,species or variety in a state of nature
0004-6-0.tif,Werd ich zum Augenblicke sagen
0004-6-1.tif,Verweile doch du bist so sch�n
0004-6-2.tif,Dann magst du mich in Fesseln schlagen
0004-6-3.tif,Dann will ich gern zu Grunde gehn
0004-6-4.tif,Dann mag die Todtenglocke schallen
0004-6-5.tif,Dann bist du deines Dienstes frey
0004-6-6.tif,Die Uhr mag stehn der Zeiger fallen
0004-6-7.tif,Es sey die Zeit f�r mich vorbey
0004-7-0.tif,You have killed my love You used to
0004-7-1.tif,stir my imagination Now you don't even stir
0004-7-2.tif,my curiosity You simply produce no effect I
0004-7-3.tif,loved you because you were marvellous because
0004-7-4.tif,you had genius and intellect because you realised
0004-7-5.tif,the dreams of great poets and gave shape
0004-7-6.tif,and substance to the shadows of art You
0004-7-7.tif,have thrown it all away You are shallow
0004-7-8.tif,and stupid
0004-8-0.tif,While I gazed this fissure rapidly widened
0004-8-1.tif,there came a fierce breath of the whirl-
0004-8-2.tif,wind the entire orb of the satellite burst
0004-8-3.tif,at once upon my sight my brain reeled
0004-8-4.tif,as I saw the mighty walls rushing asunder
0004-8-5.tif,there was a long tumultuous shouting sound
0004-8-6.tif,like the voice of a thousand waters and
0004-8-7.tif,the deep and dank tarn at my feet closed
0004-8-8.tif,sullenly and silently over the fragments of
0004-8-9.tif,the House of Usher
0005-1-0.tif,Imagine a vast sheet of paper on which
0005-1-1.tif,straight Lines Triangles Squares Pentagons
0005-1-2.tif,Hexagons and other figures instead of
0005-1-3.tif,remaining fixed in their places move freely
0005-1-4.tif,about on or in the surface but without
0005-1-5.tif,the power of rising above or sinking below
0005-1-6.tif,it very much like shadows only hard
0005-1-7.tif,and with luminous edges and you will
0005-1-8.tif,then have a pretty correct notion of
0005-1-9.tif,my country and countrymen Alas a few
0005-1-10.tif,years ago I should have said my
0005-1-11.tif,universe but now my mind has been
0005-1-12.tif,opened to higher views of things
0005-2-0.tif,And fortune on his damned quarrel smiling
0005-2-1.tif,Show'd like a rebel's whore but all's too weak
0005-2-2.tif,For brave Nomacs well he deserves that name
0005-2-3.tif,Disdaining fortune with his brandish'd steel
0005-2-4.tif,Which smoked with bloody execution
0005-2-5.tif,Like valour's minion carved out his passage
0005-2-6.tif,Till he faced the slave
0005-3-0.tif,Mail�fterl is an Austrian nickname for
0005-3-1.tif,the first computer working solely on
0005-3-2.tif,transistors on the European mainland
0005-3-3.tif,It was built in 1955 at the Vienna
0005-3-4.tif,University of Technology by Heinz Zemanek
0005-3-5.tif,The builder plays on a quote on an
0005-3-6.tif,operating computer If it is not the rapid
0005-3-7.tif,calculation speed of American models that
0005-3-8.tif,Whirlwind or Typhoon can achieve
0005-3-9.tif,it will be enough for a Wiener
0005-3-10.tif,Mail�fterl The full name is Bin�r dezimaler
0005-3-11.tif,Volltransistor-Rechenautomat
0005-4-0.tif,When we look to the individuals of
0005-4-1.tif,the same variety or sub-variety of
0005-4-2.tif,our older cultivated plants and
0005-4-3.tif,animals one of the first points which
0005-4-4.tif,strikes us is that they generally differ
0005-4-5.tif,much more from each other than do the
0005-4-6.tif,individuals of any one species or
