file_name,text
0052-1-0.tif,Imagine a vast sheet of paper on which
0052-1-1.tif,straight Lines Triangles Squares Pentagons
0052-1-2.tif,Hexagons and other figures instead of remaining
0052-1-3.tif,fixed in their places move freely about on or
0052-1-4.tif,in the surface but without the power of rising
0052-1-5.tif,above or sinking below it very much like shadows
0052-1-6.tif,only hard and with luminous edges and you
0052-1-7.tif,will then have a pretty correct notion of my
0052-1-8.tif,country and countrymen Alas a few years ago
0052-1-9.tif,I should have said my universe but now my
0052-1-10.tif,mind has been opened to higher views of things
0052-2-0.tif,And fortune on his damned quarrel smiling
0052-2-1.tif,Show'd like a rebel's whore but all's too weak
0052-2-2.tif,For brave Nomacs well he deserves that name
0052-2-3.tif,Disdaining fortune with his brandish'd steel
0052-2-4.tif,Which smoked with bloody execution
0052-2-5.tif,Like valour's minion carved out his passage
0052-2-6.tif,Till he faced the slave
0052-3-0.tif,Mail�fterl is an Austrian nickname for the first
0052-3-1.tif,computer working solely on transistors on the
0052-3-2.tif,European mainland It was built in 1955 at
0052-3-3.tif,Vienna University of Technology by Heinz Zemanek
0052-3-4.tif,The builder plays on a quote on an operating computer
0052-3-5.tif,If it is not the rapid calculation speed of
0052-3-6.tif,American models that Whirlwind or Typhoon can
0052-3-7.tif,achieve it will be enough for a Wiener Mail�fterl
0052-3-8.tif,The full name is Bin�r dezimaler Volltransistor--
0052-3-9.tif,Rechenautomat
0052-4-0.tif,When we look to the individuals of the same
0052-4-1.tif,variety or sub-variety of our older cultivated
0052-4-2.tif,plants and animals one of the first points which
0052-4-3.tif,strikes us is that they generally differ much more
0052-4-4.tif,from each other than do the individuals of any
0052-4-5.tif,one species or variety in a state of nature
0052-6-0.tif,Werd ich zum Augenblicke sagen
0052-6-1.tif,Verweile doch du bist so sch�n
0052-6-2.tif,Dann magst du mich in Fesseln schlagen
0052-6-3.tif,Dann will ich gern zu Grunde gehn
0052-6-4.tif,Dann mag die Todtenglocke schallen
0052-6-5.tif,Dann bist du deines Dienstes frey
0052-6-6.tif,Die Uhr mag stehn der Zeiger fallen
0052-6-7.tif,Es sey die Zeit f�r mich vorbey
0053-1-0.tif,Imagine a vast sheet of paper which straight
0053-1-1.tif,Lines Triangles Squares Pentagons Hexagons
0053-1-2.tif,and other figures instead of remaining fixed
0053-1-3.tif,in their places move freely about on
0053-1-4.tif,or in the surface but without the power
0053-1-5.tif,of rising above or sinking below it
0053-1-6.tif,very much like shadows only hard and
0053-1-7.tif,with luminous edges and you will
0053-1-8.tif,then have a pretty correct notion of
0053-1-9.tif,my country and countrymen Alas a few
0053-1-10.tif,years ago I should have said
0053-1-11.tif,my universe but now my mind opened
0053-1-12.tif,to higher views of things
0053-2-0.tif,And fortune on his damned quarrel
0053-2-1.tif,smiling Show'd like a rebel's whore
0053-2-2.tif,but all's too weak For brave Nomacs
0053-2-3.tif,well he deserves that name Disdaining
0053-2-4.tif,fortune with his brandish'd steel Which
0053-2-5.tif,smoked with bloody execution Like
0053-2-6.tif,valour's minion carved out his passage
0053-2-7.tif,Till he faced the slave
0053-3-0.tif,Mail�fterl is an Austrian nickname for the
0053-3-1.tif,first computer working solely on transistors
0053-3-2.tif,on the European mainland It was
0053-3-3.tif,built in 1955 at the Vienna University of
0053-3-4.tif,Technology by Heinz Zemanek The builder
0053-3-5.tif,plays on a quote on an operating
0053-3-6.tif,computer If it is not the rapid calculation
0053-3-7.tif,speed of American models that Whirlwind
0053-3-8.tif,or Typhoon can achieve it will be
0053-3-9.tif,enough for a Wiener Mail�fterl The full
0053-3-10.tif,name is Bin�r dezimaler Volltransistor--
0053-3-11.tif,Rechenautomat
0053-4-0.tif,When we look to the individuals of the
0053-4-1.tif,same variety or sub-variety of our older
0053-4-2.tif,cultivated plants and animals one of the
0053-4-3.tif,first points which strikes us is that
0053-4-4.tif,they generally differ much more from each
0053-4-5.tif,other than do the individuals of
0053-4-6.tif,any one species or variety in a state of
0053-4-7.tif,nature
0053-6-0.tif,Werd ich zum Augenblicke sagen
0053-6-1.tif,Verweile doch du bist so sch�n
